"start","end","latitude","longitude","type","rfmos.0","rfmos.1","rfmos.2","rfmos.3","eezs.0","vessel.name","vessel.flag","vessel.ssvid","loitering.totalTimeHours","loitering.totalDistanceKilometers","loitering.medianSpeedKnots","eezs.1"
"2021-03-29T21:59:16.000Z","2021-03-30T15:57:11.000Z",4.11066666665,0.59166666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","17.965","27.967","0.841",
"2021-03-30T18:56:56.000Z","2021-03-31T14:53:37.000Z",4.02938083335,0.4579625,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","19.945","30.537","0.827",
"2021-04-01T10:59:07.000Z","2021-04-08T15:59:14.000Z",3.2246783333,0.2442408333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN CHILE","BHS","311051000","173.002","80.786","0.252",
"2021-04-02T18:43:14.000Z","2021-04-07T06:50:16.000Z",3.8041875,0.4026958333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN MALOY","BHS","311042400","108.117","117.166","0.585",
"2021-04-04T09:58:58.000Z","2021-04-09T10:59:07.000Z",3.4302775,0.17238916665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN EGERSUND","BHS","311040500","121.003","111.058","0.496",
"2021-04-07T10:52:03.000Z","2021-04-09T11:01:03.000Z",3.7578125,0.44202666665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN MALOY","BHS","311042400","48.15","51.276","0.575",
"2021-04-10T06:58:22.000Z","2021-04-12T11:47:52.000Z",3.86573833335,0.73261166665,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN BODO","BHS","311009500","52.825","66.352","0.678",
"2021-04-11T06:58:10.000Z","2021-04-11T20:58:50.000Z",4.35354583335,0.00765583335,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","14.011","33.242","1.281",
"2021-04-11T22:59:33.000Z","2021-04-12T12:58:26.000Z",4.34732833335,-0.0192383333,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","GREEN HONDURAS","BHS","311289000","13.981","27.652","1.068",
"2021-04-12T06:59:19.000Z","2021-04-12T11:32:21.000Z",4.09109333335,-2.2010575,"loitering","ICCAT","ACAP","NAMMCO","IWC","8400","NEVSKIY","DMA","325965000","4.551","8.845","1.05",
