start,end,latitude,longitude,type,rfmos.0,rfmos.1,rfmos.2,rfmos.3,eezs.0,vessel.name,vessel.flag,vessel.ssvid,loitering.totalTimeHours,loitering.totalDistanceKilometers,loitering.medianSpeedKnots,eezs.1
2017-05-13T06:30:00.000Z,2017-05-13T09:40:59.000Z,4.112181667,-2.7336,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,3.183,2.285,0.388,
2017-05-13T10:05:28.000Z,2017-05-13T11:19:21.000Z,3.499019167,-2.245181667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SOLARTE,COM,616885000,1.231,4.561,2,
2017-05-25T07:47:52.000Z,2017-05-25T09:00:01.000Z,5.0493,0.131983333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,1.203,4.011,1.801,
2017-05-26T09:28:57.000Z,2017-05-26T15:16:56.000Z,4.391935833,-0.27049,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ELBRUS,LBR,636010125,5.8,18.1,1.685,
2017-06-03T21:51:45.000Z,2017-06-04T01:51:51.000Z,4.50004,-0.139418333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,4.002,10.806,1.458,
2017-06-04T13:36:16.000Z,2017-06-04T17:36:25.000Z,3.942400833,-3.163843333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NOVIY SVET,RUS,273384970,4.003,6.18,0.834,
2017-06-22T13:42:37.000Z,2017-06-22T16:53:16.000Z,4.152948333,-1.612721667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,3.178,7.096,1.206,
2017-06-24T18:51:17.000Z,2017-06-25T17:58:15.000Z,2.5081875,-3.599378333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,23.116,44.592,1.042,
2017-06-25T18:52:55.000Z,2017-06-26T00:26:14.000Z,2.642241667,-3.578279167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,5.555,11.275,1.096,
2017-06-26T01:33:25.000Z,2017-06-26T06:17:15.000Z,2.605684167,-3.509050833,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,PEARL BAY,KNA,341878000,4.731,2.826,0.323,
2017-06-26T15:52:16.000Z,2017-06-26T19:33:58.000Z,4.310599167,-0.929525,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,M/V VOLTA VICTORY,GHA,627084000,3.695,7.538,1.102,
2017-06-28T09:28:04.000Z,2017-06-28T12:32:31.000Z,4.005865833,1.509008333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,BAY  PHOENIX,LBR,636092423,3.074,10.786,1.894,
2017-06-29T09:58:44.000Z,2017-06-29T16:31:05.000Z,3.676173333,1.353965,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,SIERRA KING,NLD,244542000,6.539,18.7,1.544,
2017-06-30T21:14:21.000Z,2017-07-01T01:56:24.000Z,3.874108333,-2.129783333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,AVUNDA REEFER,PAN,352351000,4.701,17.04,1.957,
2017-07-01T07:02:08.000Z,2017-07-01T09:26:21.000Z,3.971251667,-1.859461667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,AVUNDA REEFER,PAN,352351000,2.404,8.512,1.912,
2017-07-01T19:39:50.000Z,2017-07-03T09:02:19.000Z,4.280553333,-1.25642,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,AVUNDA REEFER,PAN,352351000,37.375,60.816,0.879,
2017-07-06T16:32:02.000Z,2017-07-06T17:51:12.000Z,4.405350833,0.709333333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO CHIKUMA,PAN,353306000,1.319,4.865,1.991,
2017-07-06T19:38:10.000Z,2017-07-07T07:56:17.000Z,4.588386667,0.84708,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO CHIKUMA,PAN,353306000,12.302,32.824,1.441,
2017-07-09T03:58:45.000Z,2017-07-09T09:47:39.000Z,5.289935,0.880995,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,ZEFYROS REEFER,PAN,373451000,5.815,11.729,1.089,
2017-07-12T07:50:43.000Z,2017-07-12T11:52:12.000Z,3.349716667,0.580283333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,LADY ROSE,PAN,357993000,4.025,5.719,0.767,
2017-07-12T19:53:02.000Z,2017-07-12T23:47:22.000Z,5.059769167,0.238759167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,NOVAYA ZEMLYA,KNA,341244000,3.906,4.561,0.631,
2017-07-12T20:58:11.000Z,2017-07-13T23:57:25.000Z,3.270991667,-1.841075,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO ANTWERP,PAN,352784000,26.987,49.012,0.981,
2017-07-14T18:56:38.000Z,2017-07-15T02:34:06.000Z,3.346308333,-1.690216667,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO ANTWERP,PAN,352784000,7.624,14.692,1.04,
2017-07-15T23:58:54.000Z,2017-07-16T02:53:20.000Z,3.845675,-1.688283333,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,FRIO ANTWERP,PAN,352784000,2.907,9.052,1.681,
2017-07-25T06:40:16.000Z,2017-07-25T08:55:58.000Z,3.9667775,-2.957479167,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,2.262,5.648,1.348,
2017-07-25T09:48:08.000Z,2017-07-25T11:05:20.000Z,3.9585325,-2.937575,loitering,ICCAT,ACAP,NAMMCO,IWC,8400,VOLTA GLORY,GHA,627047000,1.287,2.818,1.182,
